ncbi_id,gene_name,ensembl_id
368262,dlst,ENSDARG00000014230
557979,aadat,ENSDARG00000011410
553792,fpgt,ENSDARG00000042139
447864,ass1,ENSDARG00000103044
393315,ccbl2,ENSDARG00000101791
368242,kmo,ENSDARG00000009160
100005067,dguok,ENSDARG00000075395
394060,hmgcs1,ENSDARG00000103025
352924,txnrd3,ENSDARG00000100374
100330864,,ENSDARG00000020711
30733,rrm2,ENSDARG00000078069
30740,rrm1,ENSDARG00000014017
405867,crls1,ENSDARG00000038000
445494,pgls,ENSDARG00000021233
569348,h6pd,ENSDARG00000060153
450016,pcyt2,ENSDARG00000043003
553433,pisd,ENSDARG00000052462
393127,pemt,
557632,selenoi,ENSDARG00000060484
554143,gnpnat1,ENSDARG00000039892
402981,amdhd2,ENSDARG00000100376
559054,hmgcra,ENSDARG00000052734
541479,hmgcrb,ENSDARG00000105206
445182,auh,ENSDARG00000042975
567734,dtymk,ENSDARG00000052103
449835,dut,ENSDARG00000106529
81540,tyms,ENSDARG00000042894
436604,uox,ENSDARG00000007024
406539,amy2a,ENSDARG00000013856
393400,zgc:66313,ENSDARG00000030357
567798,agla,ENSDARG00000103811
553655,pygma,ENSDARG00000055518
493916,pygl,
403051,pygb,ENSDARG00000002021
793137,lcat,ENSDARG00000099424
116713,aldh1a2,ENSDARG00000053493
445242,hnmt,ENSDARG00000012796
562149,sdhb,ENSDARG00000075768
393884,sdha,ENSDARG00000016721
404730,mao,ENSDARG00000023712
436893,coq3,ENSDARG00000069857
404232,chst11,ENSDARG00000034375
407076,chst12a,ENSDARG00000028786
565671,si:ch211-236h17.3,ENSDARG00000004018
399692,cyp17a1,ENSDARG00000033566
793249,cyp21a2,ENSDARG00000037550
386661,scd,ENSDARG00000033662
553734,scdb,ENSDARG00000030265
563806,plpp2a,ENSDARG00000002231
335485,plpp2b,ENSDARG00000028896
559124,ppap2d,ENSDARG00000069940
